iter	Passed	Remaining
837	13387	10575
838	13405	10561
839	13421	10545
840	13438	10530
841	13465	10522
842	13481	10506
843	13496	10490
844	13512	10474
845	13528	10458
846	13545	10442
847	13561	10426
848	13577	10410
849	13593	10394
850	13608	10378
851	13624	10362
852	13640	10346
853	13658	10331
854	13674	10315
855	13691	10300
856	13707	10284
857	13723	10268
858	13738	10252
859	13754	10235
860	13770	10219
861	13786	10203
862	13802	10187
863	13818	10171
864	13833	10155
865	13849	10139
866	13864	10122
867	13881	10106
868	13897	10091
869	13913	10075
870	13930	10060
871	13947	10044
872	13962	10028
873	13977	10011
874	13993	9995
875	14008	9978
876	14023	9962
877	14039	9945
878	14054	9929
879	14070	9913
880	14085	9896
881	14100	9880
882	14116	9863
883	14132	9847
884	14147	9831
885	14163	9815
886	14178	9798
887	14195	9783
888	14211	9767
889	14226	9750
890	14242	9734
891	14257	9718
892	14273	9702
893	14289	9685
894	14304	9669
895	14320	9653
896	14335	9637
897	14351	9621
898	14367	9604
899	14382	9588
900	14398	9572
901	14413	9555
902	14429	9539
903	14446	9524
904	14464	9509
905	14479	9493
906	14495	9477
907	14511	9461
908	14526	9444
909	14542	9428
910	14558	9412
911	14573	9396
912	14589	9380
913	14606	9364
914	14621	9348
915	14637	9332
916	14654	9317
917	14671	9301
918	14688	9286
919	14704	9270
920	14720	9254
921	14735	9237
922	14751	9221
923	14766	9205
924	14782	9189
925	14797	9172
926	14815	9157
927	14831	9141
928	14846	9125
929	14862	9109
930	14878	9093
931	14893	9076
932	14908	9060
933	14924	9043
934	14941	9028
935	14956	9012
936	14972	8996
937	14988	8980
938	15004	8964
939	15019	8947
940	15035	8931
941	15051	8915
942	15067	8899
943	15082	8883
944	15098	8867
945	15114	8851
946	15130	8835
947	15146	8819
948	15161	8803
949	15177	8787
950	15193	8770
951	15208	8754
952	15224	8738
953	15240	8722
954	15255	8706
955	15271	8690
956	15287	8673
957	15303	8657
958	15318	8641
959	15334	8625
960	15349	8609
961	15365	8593
962	15382	8577
963	15397	8561
964	15413	8545
965	15429	8529
966	15446	8513
967	15465	8499
968	15481	8483
969	15497	8467
970	15513	8451
971	15529	8435
972	15545	8419
973	15560	8403
974	15576	8387
975	15591	8370
976	15607	8354
977	15623	8338
978	15640	8323
979	15657	8308
980	15674	8292
981	15691	8277
982	15706	8260
983	15722	8244
984	15738	8228
985	15753	8212
986	15770	8196
987	15786	8180
988	15802	8165
989	15818	8148
990	15834	8132
991	15849	8116
992	15865	8100
993	15881	8084
994	15897	8068
995	15912	8052
996	15928	8036
997	15945	8020
998	15961	8004
999	15976	7988
1000	15992	7972
1001	16013	7958
1002	16032	7944
1003	16048	7928
1004	16064	7912
1005	16079	7895
1006	16095	7879
1007	16110	7863
1008	16126	7847
1009	16142	7831
1010	16158	7815
1011	16174	7799
1012	16190	7783
1013	16206	7767
1014	16221	7751
1015	16237	7735
1016	16253	7719
1017	16269	7703
1018	16284	7687
1019	16300	7671
1020	16317	7655
1021	16332	7638
1022	16348	7622
1023	16364	7606
1024	16380	7590
1025	16396	7574
1026	16412	7559
1027	16428	7542
1028	16443	7526
1029	16460	7511
1030	16478	7495
1031	16494	7480
1032	16510	7463
1033	16525	7447
1034	16541	7431
1035	16558	7416
1036	16574	7400
1037	16589	7383
1038	16605	7367
1039	16621	7351
1040	16639	7336
1041	16656	7321
1042	16672	7305
1043	16691	7290
1044	16708	7274
1045	16725	7259
1046	16743	7244
1047	16760	7228
1048	16780	7214
1049	16796	7198
1050	16812	7182
1051	16829	7166
1052	16844	7150
1053	16861	7134
1054	16876	7118
1055	16892	7102
1056	16908	7086
1057	16924	7070
1058	16939	7053
1059	16956	7038
1060	16972	7022
1061	16987	7006
1062	17003	6990
1063	17019	6973
1064	17034	6957
1065	17050	6941
1066	17065	6925
1067	17081	6909
1068	17097	6893
1069	17112	6877
1070	17128	6860
1071	17143	6844
1072	17159	6828
1073	17174	6812
1074	17190	6796
1075	17206	6780
1076	17221	6763
1077	17236	6747
1078	17252	6731
1079	17268	6715
1080	17284	6699
1081	17301	6683
1082	17316	6667
1083	17331	6651
1084	17348	6635
1085	17364	6619
1086	17381	6604
1087	17399	6588
1088	17416	6573
1089	17433	6557
1090	17452	6542
1091	17471	6527
1092	17490	6513
1093	17506	6496
1094	17522	6480
1095	17537	6464
1096	17553	6448
1097	17568	6432
1098	17584	6416
1099	17600	6400
1100	17616	6384
1101	17633	6368
1102	17650	6352
1103	17667	6337
1104	17683	6321
1105	17699	6305
1106	17717	6290
1107	17735	6274
1108	17751	6258
1109	17766	6242
1110	17782	6226
1111	17798	6210
1112	17814	6194
1113	17830	6178
1114	17846	6162
1115	17861	6146
1116	17877	6129
1117	17893	6113
1118	17908	6097
1119	17924	6081
1120	17939	6065
1121	17956	6049
1122	17972	6033
1123	17988	6017
1124	18004	6001
1125	18019	5985
1126	18034	5968
1127	18049	5952
1128	18065	5936
1129	18081	5920
1130	18096	5904
1131	18112	5888
1132	18129	5872
1133	18144	5856
1134	18160	5840
1135	18175	5823
1136	18192	5808
1137	18208	5792
1138	18223	5775
1139	18239	5759
1140	18254	5743
1141	18270	5727
1142	18286	5711
1143	18301	5695
1144	18317	5679
1145	18332	5663
1146	18348	5646
1147	18363	5630
1148	18379	5614
1149	18395	5598
1150	18411	5582
1151	18427	5566
1152	18442	5550
1153	18458	5534
1154	18475	5518
1155	18491	5502
1156	18507	5486
1157	18524	5470
1158	18540	5454
1159	18556	5438
1160	18571	5422
1161	18586	5406
1162	18602	5390
1163	18619	5374
1164	18637	5359
1165	18654	5343
1166	18669	5327
1167	18684	5311
1168	18700	5294
1169	18715	5278
1170	18731	5262
1171	18747	5246
1172	18762	5230
1173	18778	5214
1174	18793	5198
1175	18809	5182
1176	18824	5165
1177	18840	5149
1178	18855	5133
1179	18871	5117
1180	18886	5101
1181	18902	5085
1182	18919	5069
1183	18934	5053
1184	18950	5037
1185	18967	5021
1186	18982	5005
1187	18999	4989
1188	19015	4973
1189	19030	4957
1190	19046	4941
1191	19062	4925
1192	19077	4909
1193	19093	4893
1194	19108	4877
1195	19124	4860
1196	19139	4844
1197	19154	4828
1198	19170	4812
1199	19186	4796
1200	19201	4780
1201	19218	4764
1202	19241	4750
1203	19257	4734
1204	19273	4718
1205	19288	4702
1206	19304	4686
1207	19320	4670
1208	19335	4653
1209	19350	4637
1210	19366	4621
1211	19383	4605
1212	19398	4589
1213	19414	4573
1214	19430	4557
1215	19446	4541
1216	19462	4525
1217	19480	4510
1218	19496	4494
1219	19512	4478
1220	19527	4462
1221	19543	4446
1222	19559	4430
1223	19575	4414
1224	19591	4398
1225	19609	4382
1226	19626	4366
1227	19643	4351
1228	19659	4335
1229	19675	4318
1230	19691	4303
1231	19707	4286
1232	19723	4270
1233	19738	4254
1234	19754	4238
1235	19769	4222
1236	19784	4206
1237	19800	4190
1238	19816	4174
1239	19832	4158
1240	19848	4142
1241	19864	4126
1242	19879	4110
1243	19895	4094
1244	19910	4078
1245	19926	4062
1246	19941	4045
1247	19957	4029
1248	19974	4014
1249	19989	3997
1250	20005	3981
1251	20021	3965
1252	20036	3949
1253	20052	3933
1254	20067	3917
1255	20084	3901
1256	20100	3885
1257	20116	3869
1258	20132	3853
1259	20147	3837
1260	20163	3821
1261	20179	3805
1262	20195	3789
1263	20210	3773
1264	20226	3757
1265	20241	3741
1266	20256	3725
1267	20272	3709
1268	20287	3693
1269	20303	3676
1270	20318	3660
1271	20334	3644
1272	20349	3628
1273	20364	3612
1274	20381	3596
1275	20397	3580
1276	20413	3564
1277	20428	3548
1278	20444	3532
1279	20461	3516
1280	20478	3501
1281	20496	3485
1282	20511	3469
1283	20527	3453
1284	20542	3437
1285	20557	3420
1286	20573	3404
1287	20590	3389
1288	20607	3373
1289	20625	3357
1290	20642	3341
1291	20657	3325
1292	20673	3309
1293	20689	3293
1294	20705	3277
1295	20721	3261
1296	20737	3245
1297	20752	3229
1298	20767	3213
1299	20783	3197
1300	20798	3181
1301	20814	3165
1302	20829	3149
1303	20845	3133
1304	20862	3117
1305	20878	3101
1306	20893	3085
1307	20909	3069
1308	20924	3053
1309	20940	3037
1310	20955	3021
1311	20970	3004
1312	20987	2989
1313	21003	2973
1314	21019	2957
1315	21034	2940
1316	21050	2924
1317	21065	2908
1318	21080	2892
1319	21096	2876
1320	21110	2860
1321	21126	2844
1322	21141	2828
1323	21157	2812
1324	21172	2796
1325	21188	2780
1326	21203	2764
1327	21219	2748
1328	21234	2732
1329	21250	2716
1330	21267	2700
1331	21282	2684
1332	21298	2668
1333	21313	2652
1334	21329	2636
1335	21344	2620
1336	21360	2604
1337	21375	2588
1338	21391	2572
1339	21407	2556
1340	21423	2540
1341	21439	2524
1342	21455	2508
1343	21471	2492
1344	21489	2476
1345	21505	2460
1346	21527	2445
1347	21546	2429
1348	21563	2413
1349	21580	2397
1350	21596	2381
1351	21613	2366
1352	21630	2350
1353	21647	2334
1354	21665	2318
1355	21681	2302
1356	21697	2286
1357	21713	2270
1358	21728	2254
1359	21744	2238
1360	21759	2222
1361	21774	2206
1362	21790	2190
1363	21806	2174
1364	21822	2158
1365	21837	2142
1366	21853	2126
1367	21869	2110
1368	21884	2094
1369	21900	2078
1370	21916	2062
1371	21931	2046
1372	21946	2030
1373	21962	2013
1374	21978	1998
1375	21994	1982
1376	22010	1966
1377	22025	1950
1378	22042	1934
1379	22058	1918
1380	22073	1902
1381	22089	1886
1382	22105	1870
1383	22120	1854
1384	22137	1838
1385	22152	1822
1386	22168	1806
1387	22184	1790
1388	22199	1774
1389	22214	1758
1390	22230	1742
1391	22246	1726
1392	22262	1710
1393	22278	1694
1394	22293	1678
